  m0  m1   c0   c1  c0^c1
7c63 fc63 173d 973d 8000
7c65 fc65 153f 953f 8000
7cd3 fcd3 162d 962d 8000
7cd5 fcd5 142f 942f 8000
7d12 fd12 342d b42d 8000
7d17 fd17 140d 940d 8000
7d42 fd42 353d b53d 8000
7d47 fd47 151d 951d 8000
7d62 fd62 171d 971d 8000
7d67 fd67 153d 953d 8000
7dd2 fdd2 160d 960d 8000
7dd7 fdd7 142d 942d 8000
